Total,,Store,Six-Digit SKU,Product,Tax Code,Store Number,Common Name,Sub-Category,Date 1,Price 1,Date 2,Price 2,Date 3,Price 3,Date 4,Price 4,Date 5,Price 5,Date 6,Price 6
"=SUM(K245,M245,O245,Q245,S245,U245)",,Walmart,NA,Fresh Tomato on the Vine,NA,0,Tomatoes on the Vine,Fresh Vegetables,2026-09-13 00:00:00,3.27,,,,,,,,,,
"=SUM(K246,M246,O246,Q246,S246,U246)",,Walmart,NA,Fresh Whole Sweet Onion,NA,0,Sweet Onion,Fresh Vegetables,2026-09-13 00:00:00,0.91,,,,,,,,,,
"=SUM(K247,M247,O247,Q247,S247,U247)",,Walmart,NA,Fresh Whole Red Onion,NA,0,Red Onion,Fresh Vegetables,2026-09-13 00:00:00,1.01,,,,,,,,,,
"=SUM(K248,M248,O248,Q248,S248,U248)",,Walmart,NA,Fresh Banana,NA,0,Bananas,Fresh Fruit,2026-09-13 00:00:00,2.15,,,,,,,,,,
"=SUM(K249,M249,O249,Q249,S249,U249)",,Walmart,NA,Tax,NA,0,Tax,Fees & Charges,2026-09-13 00:00:00,4.37,,,,,,,,,,
"=SUM(K250,M250,O250,Q250,S250,U250)",,Walmart,NA,Driver Tip,NA,0,Driver Tip,Fees & Charges,2026-09-13 00:00:00,22.11,,,,,,,,,,
"=SUM(K251,M251,O251,Q251,S251,U251)",,L3HAtriumCafe,NA,Cage Free Scrambled Eggs,NA,0,Cage-Free Scrambled Eggs,Prepared Meals,2026-09-17 00:00:00,2.59,,,,,,,,,,
"=SUM(K252,M252,O252,Q252,S252,U252)",,Publix,NA,Publix Half&Half Hg,F,1058,"Publix Half & Half, Half Gallon",Cream & Half-and-Half,2026-08-25 00:00:00,5.89,2026-09-13 00:00:00,5.89,2026-09-18 00:00:00,5.89,,,,,,
"=SUM(K253,M253,O253,Q253,S253,U253)",,Publix,NA,Mogen David B1 Blackberry,T,1058,Mogen David Blackberry Wine,Wine,2026-09-18 00:00:00,7.19,,,,,,,,,,
"=SUM(K254,M254,O254,Q254,S254,U254)",,Publix,NA,Bananas,F,1058,Bananas,Fresh Fruit,2026-09-18 00:00:00,1.72,,,,,,,,,,
"=SUM(K255,M255,O255,Q255,S255,U255)",,Publix,NA,Gw Flourless Choc Truffle,F,1058,GreenWise Flourless Chocolate Truffle,Cakes & Pies,2026-09-18 00:00:00,12.49,,,,,,,,,,
"=SUM(K256,M256,O256,Q256,S256,U256)",,Publix,NA,Pamp Swaddler Sz5 Bag,NA,1058,Pampers Swaddlers Size 5 Diapers,Baby Care,2026-09-18 00:00:00,12.99,,,,,,,,,,
"=SUM(K257,M257,O257,Q257,S257,U257)",,Publix,NA,Chobani 20G Drk,F,1058,Chobani Protein Greek Yogurt Drink,Yogurt,2026-09-18 00:00:00,10.99,,,,,,,,,,
"=SUM(K258,M258,O258,Q258,S258,U258)",,Publix,NA,Mini Pumpkin Cc Pie,F,1058,Mini Pumpkin Cream Cheese Pie,Cakes & Pies,2026-09-18 00:00:00,6.99,,,,,,,,,,
"=SUM(K259,M259,O259,Q259,S259,U259)",,Publix,NA,18 Mylar Balloon,T,1058,18-Inch Mylar Balloon,Balloons,2026-09-18 00:00:00,3.99,,,,,,,,,,
"=SUM(K260,M260,O260,Q260,S260,U260)",,Publix,NA,Tax,T,1058,Tax,Fees & Charges,2026-09-18 00:00:00,0.78,,,,,,,,,,
"=SUM(K261,M261,O261,Q261,S261,U261)",,Publix,NA,SB OAT BROWN SUGAR,F,1688,Starbucks Oatmilk Brown Sugar Creamer,Coffee Creamer,2026-09-19 00:00:00,6.69,,,,,,,,,,
"=SUM(K262,M262,O262,Q262,S262,U262)",,Publix,NA,RANA CHEESE TORTEL,F,1688,Giovanni Rana Cheese Tortellini,Refrigerated Pasta,2026-09-19 00:00:00,5,2026-09-19 00:00:00,5,,,,,,,,
"=SUM(K263,M263,O263,Q263,S263,U263)",,Publix,NA,PROG VEG BROTH,F,1688,Progresso Vegetable Broth,Broth & Stock,2026-09-19 00:00:00,2.89,2026-09-19 00:00:00,2.89,,,,,,,,
"=SUM(K264,M264,O264,Q264,S264,U264)",,Publix,NA,LSR EVL  SWT/SLT PN,F,1688,LesserEvil Sweet & Salty Popcorn,Popcorn,2026-09-19 00:00:00,4.25,,,,,,,,,,
"=SUM(K265,M265,O265,Q265,S265,U265)",,Cosco,NA,Pampers Swaddlers Ultra Diapers Sizes,NA,0,Pampers Swaddlers Diapers,Baby Care,2026-09-20 00:00:00,46.79,,,,,,,,,,
"=SUM(K266,M266,O266,Q266,S266,U266)",,Walmart,NA,Contribution,NA,0,Contribution,Contribution Shared Payment,2026-09-13 00:00:00,-144.14,,,,,,,,,,
